 						Playing Time		 	Performance						 	Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
343	Lukáš Červ	MF	cz Czechia	24	2001	8	6	493	5.5	1	2	3	1	0	0	0	0	0.18	0.37	0.55	0.18	0.55	Matches
344	Václav Černý	MF,FW	cz Czechia	28	1997	7	5	443	4.9	2	2	4	2	0	0	0	0	0.41	0.41	0.81	0.41	0.81	Matches
345	Michal Beran	MF	cz Czechia	25	2000	2	1	88	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
346	Nick Woltemade	FW	de Germany	23	2002	6	6	479	5.3	4	1	5	4	0	0	0	0	0.75	0.19	0.94	0.75	0.94	Matches
347	Florian Wirtz	MF,FW	de Germany	22	2003	6	6	525	5.8	1	2	3	1	0	0	0	0	0.17	0.34	0.51	0.17	0.51	Matches
348	Malick Thiaw	DF,MF	de Germany	24	2001	2	0	39	0.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
349	Jonathan Tah	DF	de Germany	29	1996	6	5	447	5.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
350	Angelo Stiller	MF	de Germany	24	2001	1	1	59	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
351	Nico Schlotterbeck	DF	de Germany	26	1999	3	3	198	2.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
352	Kevin Schade	FW,MF	de Germany	24	2001	1	0	25	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
353	Leroy Sané	MF,FW	de Germany	30	1996	2	2	168	1.9	2	2	4	2	0	0	0	0	1.07	1.07	2.14	1.07	2.14	Matches
354	Antonio Rüdiger	DF	de Germany	32	1993	2	2	171	1.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
355	David Raum	DF	de Germany	27	1998	6	5	467	5.2	1	2	3	1	0	0	0	0	0.19	0.39	0.58	0.19	0.58	Matches
356	Aleksandar Pavlovic	MF	de Germany	21	2004	4	4	311	3.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
357	Assan Ouedraogo	MF	de Germany	19	2006	1	0	14	0.2	1	0	1	1	0	0	0	0	6.43	0.00	6.43	6.43	6.43	Matches
358	Felix Nmecha	MF	de Germany	25	2000	2	0	82	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
359	Maximilian Mittelstädt	DF	de Germany	28	1997	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
360	Jamie Leweling	MF	de Germany	24	2001	2	1	102	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
361	Robin Koch	DF	de Germany	29	1996	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
362	Joshua Kimmich	DF,MF	de Germany	30	1995	5	5	423	4.7	2	1	3	1	1	1	0	0	0.43	0.21	0.64	0.21	0.43	Matches
363	Pascal Groß	MF	de Germany	34	1991	1	1	65	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
364	Leon Goretzka	MF	de Germany	30	1995	6	5	438	4.9	0	1	1	0	0	0	1	0	0.00	0.21	0.21	0.00	0.21	Matches
365	Serge Gnabry	MF	de Germany	30	1995	6	6	433	4.8	3	1	4	3	0	0	0	0	0.62	0.21	0.83	0.62	0.83	Matches
366	Nnamdi Collins	DF	de Germany	22	2004	1	1	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
367	Jonathan Burkardt	FW,MF	de Germany	25	2000	2	0	32	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
368	Nathaniel Brown	DF,MF	de Germany	22	2003	2	0	28	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
369	Maximilian Beier	FW,MF	de Germany	23	2002	3	0	79	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
370	Oliver Baumann	GK	de Germany	35	1990	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
371	Ridle Baku	DF	de Germany	27	1998	4	1	148	1.6	1	1	2	1	0	0	0	0	0.61	0.61	1.22	0.61	1.22	Matches
