 						Playing Time		 	Performance 							Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
493	Mahdi Hashemnezhad	FW	ir IR Iran	24	2001	1	1	55	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
494	Saleh Hardani	DF	ir IR Iran	27	1998	11	8	739	8.2	1	1	2	1	0	0	1	1	0.12	0.12	0.24	0.12	0.24	Matches
495	Ehsan Hajsafi	DF	ir IR Iran	35	1990	2	1	91	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
496	Mohammed Ghorbani	MF,FW	ir IR Iran	24	2001	7	2	248	2.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
497	Ali Gholizadeh	MF	ir IR Iran	29	1996	8	3	282	3.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
498	Saman Ghoddos	MF	ir IR Iran	32	1993	13	12	929	10.3	0	2	2	0	0	0	2	0	0.00	0.19	0.19	0.00	0.19	Matches
499	Mehdi Ghaedi	MF	ir IR Iran	27	1998	11	8	651	7.2	3	1	4	3	0	0	1	0	0.41	0.14	0.55	0.41	0.55	Matches
500	Saman Fallah	MF	ir IR Iran	24	2001	2	0	20	0.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
501	Saeid Ezatolahi	MF	ir IR Iran	29	1996	13	12	1,051	11.7	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
502	Omid Ebrahimi	MF	ir IR Iran	38	1987	1	0	21	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
503	Roozbeh Cheshmi	MF	ir IR Iran	32	1993	4	1	179	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
504	Alireza Beiranvand	GK	ir IR Iran	33	1992	13	13	1,170	13.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
505	Sardar Azmoun	FW	ir IR Iran	31	1995	13	12	983	10.9	8	5	13	8	0	0	1	0	0.73	0.46	1.19	0.73	1.19	Matches
506	Mohammadreza Azadi	FW	ir IR Iran	26	1999	1	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
507	Reza Asadi	MF	ir IR Iran	30	1996	2	0	18	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
508	Karim Ansarifard	FW	ir IR Iran	35	1990	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
509	Ali Alipour	FW	ir IR Iran	30	1995	2	1	38	0.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
510	Aref Aghasi	DF	ir IR Iran	29	1997	2	2	176	2.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
511	Javad Aghaeipour	FW	ir IR Iran	26	1999	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
512	Musa Al-Taamari	FW,MF	jo Jordan	28	1997	13	12	1,037	11.5	7	2	9	7	0	1	1	0	0.61	0.17	0.78	0.61	0.78	Matches
513	Sisa	MF	jo Jordan	27	1998	1	0	27	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
514	Mahmoud Shawkat	MF	jo Jordan	30	1995	2	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
515	Mohammad Shararah	FW	jo Jordan	28	1997	6	0	47	0.5	1	0	1	1	0	0	0	0	1.91	0.00	1.91	1.91	1.91	Matches
516	Ibrahim Sabra	FW	jo Jordan	19	2006	2	0	28	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
517	Ibrahim Sa'deh	MF	jo Jordan	25	2000	11	4	382	4.2	1	1	2	1	0	0	1	0	0.24	0.24	0.47	0.24	0.47	Matches
518	Saed Al Rosan	DF	jo Jordan	28	1997	2	1	91	1.0	1	0	1	1	0	0	0	0	0.99	0.00	0.99	0.99	0.99	Matches
519	Noor Al Rawabdeh	MF	jo Jordan	28	1997	12	10	924	10.3	2	2	4	2	0	0	1	0	0.19	0.19	0.39	0.19	0.39	Matches
520	Saleh Rateb	MF	jo Jordan	31	1994	4	0	22	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
521	Nizar Al Rashdan	MF	jo Jordan	26	1999	14	14	1,128	12.5	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
522	Adham Al Quraishi	DF	jo Jordan	30	1995	1	0	18	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
523	Ali Olwan	FW,MF	jo Jordan	25	2000	13	13	1,141	12.7	9	1	10	6	3	3	0	0	0.71	0.08	0.79	0.47	0.55	Matches
524	Saleem Obaid	DF	jo Jordan	34	1992	2	1	135	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
525	Abdallah Nasib	DF	jo Jordan	31	1994	14	14	1,260	14.0	1	0	1	1	0	0	2	0	0.07	0.00	0.07	0.07	0.07	Matches
526	Yazan Al-Naimat	FW	jo Jordan	26	1999	16	15	1,346	15.0	8	5	13	7	1	1	0	0	0.53	0.33	0.87	0.47	0.80	Matches
527	Mohammad Abu Al Nadi	DF	jo Jordan	24	2001	7	6	509	5.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
528	Bara' Marei	DF	jo Jordan	31	1994	2	2	161	1.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
529	Mahmoud Al-Mardi	MF,FW	jo Jordan	32	1993	14	12	982	10.9	1	7	8	1	0	0	2	0	0.09	0.64	0.73	0.09	0.73	Matches
530	Mustafa Kamal	MF	jo Jordan	30	1995	1	0	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
531	Yousef Abu Al Jazar	DF	jo Jordan	26	1999	4	0	30	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
532	Amer Jamous	MF	jo Jordan	23	2002	4	3	288	3.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
533	Aref Al Haj	FW	jo Jordan	24	2001	3	0	12	0.1	0	1	1	0	0	0	0	0	0.00	7.50	7.50	0.00	7.50	Matches
534	Ihsan Haddad	MF,DF	jo Jordan	31	1994	13	13	1,141	12.7	0	2	2	0	0	0	2	0	0.00	0.16	0.16	0.00	0.16	Matches
535	Abdallah Al Fakhori	GK	jo Jordan	26	2000	1	0	34	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
536	Ahmad Ersan	MF	jo Jordan	30	1995	1	0	13	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
537	Velibor Djuric	MF	jo Jordan	43	1982	2	2	162	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
538	Mohammad Al-Dawud	FW,MF	jo Jordan	33	1992	1	0	4	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
539	Reziq Bani Hani	FW	jo Jordan	24	2002	3	0	14	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
540	Rajaei Ayed	MF	jo Jordan	32	1993	8	3	299	3.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
541	Abdullah Al-Attar	DF,FW	jo Jordan	33	1992	2	0	14	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
542	Yazan Al-Arab	DF	jo Jordan	30	1996	14	14	1,259	14.0	1	0	1	1	0	0	2	0	0.07	0.00	0.07	0.07	0.07	Matches
543	Salem Al-Ajalin	DF	jo Jordan	37	1988	6	5	451	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
544	Mohammad Aburiziq	FW	jo Jordan	26	1999	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
545	Yazeed Abulaila	GK	jo Jordan	33	1993	16	16	1,406	15.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
546	Mohannad Abu Taha	MF	jo Jordan	22	2003	11	8	672	7.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
