 	                                        Playing Time 	                Performance 	                                                Per 90 Minutes	
Rk 	Player 	Pos 	Squad Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
226	Juan David Cabal	DF	co Colombia	25	2001	2	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
227	Carlos Cuesta	DF	co Colombia	26	1999	5	4	331	3.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
228	Cucho	MF	co Colombia	26	1999	2	1	74	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
229	Juan Cuadrado	FW	co Colombia	37	1988	1	1	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
230	Jhon Córdoba	FW	co Colombia	32	1993	10	5	510	5.7	2	0	2	2	0	0	3	0	0.35	0.00	0.35	0.35	0.35	Matches
231	Kevin Castaño	MF	co Colombia	25	2000	9	7	562	6.2	0	1	1	0	0	0	2	0	0.00	0.16	0.16	0.00	0.16	Matches
232	Rafael Carrascal	MF	co Colombia	33	1992	1	0	18	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
233	Jorge Carrascal	MF	co Colombia	27	1998	7	2	220	2.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
234	Jaminton Campaz	FW	co Colombia	25	2000	5	1	154	1.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
235	Juan Camilo Portilla	MF	co Colombia	27	1998	5	2	194	2.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
236	Rafael Borré	FW,MF	co Colombia	30	1995	9	6	452	5.0	2	0	2	1	1	1	0	0	0.40	0.00	0.40	0.20	0.20	Matches
